record - leader,001,008,035,040,245,260,310,336,337,338,653,264,996,998,650,710,246,500,775,022,247,321,580,546,521,900,300,490,700,041,773,981,711,856,110,901,692,250,525,600,983,505
00493nas  2200169u  4500,9918687950101480,991223q19851989xxuur|p||     0|||a|eng c,^$ $ $a(BeLVLBS)001868795LBS01-Aleph^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918687950101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$3$aDe gildestem.,^$ $ $aS.l.$ $ $bACW. Verbond Brugge$ $ $c[1982]-[1983],^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00622nas  2200205u  4500,9918748890101480,971010q19821990be zr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001874889LBS01-Aleph^$ $ $a7186013^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918748890101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aOnze lieve vrouw van Kortenbos.,,^$ $ $aOther,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-[1990]^$ $1$aSint-Truiden$ $ $bOnze lieve vrouw van Kortenbos$ $ $31982-[1990].,^$ $ $aKADOC$ $ $bphysical$ $ $c202004$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00723nas  2200217u  4500,9918753570101480,971013d19831987be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001875357LBS01-Aleph^$ $ $a7188117^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918753570101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aNieuws stichting Chili.,,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,"^$ $1$c[1983]-[1987]^$ $1$aTongerlo$ $ $bNorbertijnen Tongerlo,$ $ $c3 [1983]-[1987]",^$ $ $aKADOC$ $ $bphysical$ $ $c201808$ $ $dA$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aNorbertijnen Abdij Tongerlo$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00838nas  2200241u  4500,9918754260101480,971013d19832010be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001875426LBS01-Aleph^$ $ $a7188526^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918754260101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"^$0$0$aToets$ $ $binformatieblad van de syndicale werking LBC-NVK, ATP-KULeuven.",,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1983-[2010]^$ $1$aLeuven$ $ $bToets$ $ $c1983-[2010],^$ $ $aKADOC$ $ $bphysical$ $ $c202012$ $ $9local,,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT)^$ $7$2KADOC$ $ $aarbeidersbeweging$ $ $6(ODIS-TW)2656,,^$1$3$aToets$ $ $bhet LBC-NVK vakbondsblad voor de KULeuven,^$ $ $aPublicatie stopgezet,,,,,,,,,,,,,,,,,,,,,,,,
00671nas  2200229u  4500,9918761110101480,971014q19841986be mr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001876111LBS01-Aleph^$ $ $a7192058^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918761110101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aPausbezoek.,^$ $ $c[1984]-[1986],^$ $ $aMonthly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC1$ $ $xKerken en religie$ $ $6(ODIS-HT),,,^$ $ $aPaus Johannes Paulus II in Belgie in 1985^$ $ $aPauskrant,,,,,,,,,,,,,,,,,,,,,,,,
00642nas  2200205u  4500,9918775740101480,971020q19821988ne ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001877574LBS01-Aleph^$ $ $a7198581^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918775740101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aParels : parels van Rooms katholieke journalistiek uit heden en verleden.,,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c1982-[1988]^$ $1$aAmsterdam$ $ $bR.K. initiatief comité,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00586nas  2200193u  4500,9918779680101480,971021q19831986be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001877968LBS01-Aleph^$ $ $a7200436^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918779680101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSintal nieuws.,^$ $ $aLeuven$ $ $bSintal$ $ $c1983-[1986],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,^$1$8$w(BeLVLBS)001877913LBS01-Aleph$ $ $tPen en pers$ $ $4780,,,,,,,,,,,,,,,,,,,,,,,
00550nas  2200181u  4500,9918803310101480,971028q19831989be qr|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001880331LBS01-Aleph^$ $ $a7210718^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918803310101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSprankel : berichtenblad van Hoogveld.,^$ $ $aVeldegem$ $ $bSprankel$ $ $c1983-[1989],^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00770nas  2200229u  4500,9918803990101480,971029q19832012be qr|p||     0|||a|fre c,^$ $ $a(BeLVLBS)001880399LBS01-Aleph^$ $ $a7211143^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918803990101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,"^$0$0$aSolidarité Bolivië ""El Molino - Yocalla""",,^$ $ $aQuarterly,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,^$ $6$aPeriodicals,^$ $1$c[1983]-[2012]^$ $1$aS.l.$ $ $bJeunes solidaires Bolivië$ $ $3[1983]-[2012].,^$ $ $aKADOC$ $ $bphysical$ $ $c202006$ $ $9local,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,^$ $7$2KADOC$ $ $aC5$ $ $xMaatschappelijke organisaties en maatschappelijk leven$ $ $6(ODIS-HT),^$2$ $aJeunes solidaires Bolivië$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
00600nas  2200193u  4500,9918806510101480,971029d19859999be ur|p||     0|||a|dut c,^$ $ $a(BeLVLBS)001880651LBS01-Aleph^$ $ $a7212254^$ $ $a(EXLNZ-32KUL_LIBIS_NETWORK)9918806510101471,^$ $ $aBeLVLBS$ $ $bLanguage of cataloging varies$ $ $erda based,^$0$0$aSpoed-info$ $ $bfederatie besturen.,^$ $ $aBrussel$ $ $bNCOV$ $ $c[1985]-?,^$ $ $aUnknown,^$ $ $atext$ $ $2rdacontent,^$ $ $aunmediated$ $ $2rdamedia,^$ $ $avolume$ $ $2rdacarrier,,,,^$ $ $aLBS01$ $ $bbib_200501.mrc.2.as,,^$2$ $aNationale confederatie van ouderverenigingen.$ $ $4oth,,,,,,,,,,,,,,,,,,,,,,,,,,
